ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
207549_x_at	0.00228	1.41e-07	-14.026435	7.42201	-1.3216428	CD46	CD46 molecule
217749_at	0.00228	3.19e-07	12.793569	6.81608	1.4773039	COPG1	coatomer protein complex subunit gamma 1
210012_s_at	0.00228	4.04e-07	-12.457279	6.63537	-0.994866	EWSR1	EWS RNA binding protein 1
219608_s_at	0.00228	4.09e-07	-12.439989	6.62589	-1.5289893	FBXO38	F-box protein 38
210932_s_at	0.0027	6.07e-07	-11.894762	6.31679	-1.6404382	RNF6	ring finger protein 6
213461_at	0.00298	8.01e-07	-11.523877	6.09489	-1.0013448	NUDT21	nudix hydrolase 21
221002_s_at	0.00371	1.17e-06	11.0393	5.78978	0.9066068	TSPAN14	tetraspanin 14
200696_s_at	0.00455	1.63e-06	10.620409	5.51131	1.026919	GSN	gelsolin
205732_s_at	0.00533	2.15e-06	-10.285716	5.2784	-1.6020965	NCOA2	nuclear receptor coactivator 2
212105_s_at	0.00565	2.54e-06	-10.091709	5.13895	-2.3319045	DHX9	DEAH-box helicase 9
214876_s_at	0.00628	3.15e-06	-9.842584	4.95494	-0.8015438	TUBGCP5	tubulin gamma complex associated protein 5
209346_s_at	0.00628	3.54e-06	-9.707889	4.85306	-0.7585462	PI4K2A	phosphatidylinositol 4-kinase type 2 alpha
212216_at	0.00628	3.83e-06	-9.619445	4.78523	-0.7856935	PREPL	prolyl endopeptidase-like
201011_at	0.00628	3.98e-06	9.574894	4.75078	0.8161354	RPN1	ribophorin I
209231_s_at	0.00628	4.45e-06	-9.451716	4.65453	-0.8753103	DCTN5	dynactin subunit 5
219549_s_at	0.00628	4.66e-06	9.400892	4.61438	0.972639	RTN3	reticulon 3
201237_at	0.00628	4.82e-06	9.362626	4.58399	0.7585391	CAPZA2	capping actin protein of muscle Z-line alpha subunit 2
203141_s_at	0.00628	5.52e-06	-9.215248	4.46555	-0.8591877	AP3B1	adaptor related protein complex 3 beta 1 subunit
202509_s_at	0.00628	5.60e-06	9.198777	4.45218	1.1577197	TNFAIP2	TNF alpha induced protein 2
217991_x_at	0.00628	5.64e-06	9.191459	4.44623	1.5352492	SSBP3	single stranded DNA binding protein 3
209896_s_at	0.00729	6.96e-06	-8.965602	4.25986	-0.9354903	PTPN11	protein tyrosine phosphatase, non-receptor type 11
221762_s_at	0.00729	7.34e-06	8.909341	4.21261	0.8255599	PCIF1	PDX1 C-terminal inhibiting factor 1
201835_s_at	0.00729	7.52e-06	-8.88286	4.19025	-1.3825568	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1
216294_s_at	0.00773	8.50e-06	-8.754892	4.08115	-1.241574	KIAA1109	KIAA1109
202654_x_at	0.00773	8.67e-06	-8.734322	4.06345	-0.7314182	MARCH7	membrane associated ring-CH-type finger 7
