Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP2004,miR targeted genes in lymphocytes,,-8.2,5.9,8.4,30284,424,205,17,8.3,1.9,396|595|604|2771|4651|5534|5878|6856|8450|8829|8943|9260|25840|27236|29901|83442|84823,ARHGDIA|CCND1|BCL6|GNAI2|MYO10|PPP3R1|RAB5C|SYPL1|CUL4B|NRP1|AP3D1|PDLIM7|TMT1A|ARFIP1|SAC3D1|SH3BGRL3|LMNB2,-3.9,MyList
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-7.6,5,7.7,30284,530,205,18,8.8,2,92|2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,ACVR2A|NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-3.5,MyList
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-7.2,4.7,7.4,30284,562,205,18,8.8,2,92|2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,ACVR2A|NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-3.3,MyList
GO Biological Processes,19,GO:0043269,regulation of monoatomic ion transport,19_GO:0051179 localization,-6.8,5,7.2,30284,472,205,16,7.8,1.9,444|493|825|2280|2771|3077|3764|5142|5534|5566|6347|6781|7531|8737|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|GNAI2|HFE|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE|RIPK1|ABCC9|FXYD5,-3,MyList
GO Biological Processes,19,GO:0010959,regulation of metal ion transport,19_GO:0051179 localization,-6.1,5.1,6.9,30284,403,205,14,6.8,1.8,444|493|825|2280|2771|3077|5142|5534|5566|6347|6781|7531|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|GNAI2|HFE|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE|ABCC9|FXYD5,-2.6,MyList
GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-6.1,5.6,7,30284,345,205,13,6.3,1.7,444|493|825|2280|3764|5142|5534|5566|6347|7531|8737|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9|FXYD5,-2.6,MyList
GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-5.9,4.1,6.4,30284,616,205,17,8.3,1.9,604|825|1627|3693|3764|4641|5154|5754|5756|7408|7791|8572|9260|9578|10060|29780|30846,BCL6|CAPN3|DBN1|ITGB5|KCNJ8|MYO1C|PDGFA|PTK7|TWF1|VASP|ZYX|PDLIM4|PDLIM7|CDC42BPB|ABCC9|PARVB|EHD2,-2.4,MyList
GO Biological Processes,19,GO:0043523,regulation of neuron apoptotic process,19_GO:0050789 regulation of biological process,-5.8,6.4,7.1,30284,255,205,11,5.4,1.6,595|1191|2908|4671|5831|6347|6418|8737|8829|54463|219699,CCND1|CLU|NR3C1|NAIP|PYCR1|CCL2|SET|RIPK1|NRP1|RETREG1|UNC5B,-2.4,MyList
GO Biological Processes,19,GO:0008283,cell population proliferation,19_GO:0009987 cellular process,-5.7,3.7,6.1,30284,718,205,18,8.8,2,92|444|595|604|1025|1191|1627|2771|3329|3764|4017|5154|5179|6781|7099|10060|10612|10892,ACVR2A|ASPH|CCND1|BCL6|CDK9|CLU|DBN1|GNAI2|HSPD1|KCNJ8|LOXL2|PDGFA|PENK|STC1|TLR4|ABCC9|TRIM3|MALT1,-2.3,MyList
WikiPathways,27,WP2003,miR targeted genes in leukocytes,,-5.6,9.3,7.7,30284,127,205,8,3.9,1.4,396|604|2771|5878|8943|29901|83442|84823,ARHGDIA|BCL6|GNAI2|RAB5C|AP3D1|SAC3D1|SH3BGRL3|LMNB2,-2.3,MyList
GO Biological Processes,19,GO:0071871,response to epinephrine,19_GO:0050896 response to stimulus,-5.6,39,12,30284,15,205,4,2,0.97,493|5142|5179|5566,ATP2B4|PDE4B|PENK|PRKACA,-2.3,MyList
GO Biological Processes,19,GO:0043524,negative regulation of neuron apoptotic process,19_GO:0048519 negative regulation of biological process,-5.6,7.8,7.3,30284,171,205,9,4.4,1.4,595|1191|4671|5831|6347|6418|8829|54463|219699,CCND1|CLU|NAIP|PYCR1|CCL2|SET|NRP1|RETREG1|UNC5B,-2.3,MyList
GO Biological Processes,19,GO:0071878,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,19_GO:0048519 negative regulation of biological process,-5.5,89,16,30284,5,205,3,1.5,0.84,493|2771|5142,ATP2B4|GNAI2|PDE4B,-2.3,MyList
GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-5.4,3.5,5.8,30284,754,205,18,8.8,2,604|718|1191|2280|3329|3764|5154|6654|7099|7528|7855|8729|8935|9590|10892|10945|64421|81609,BCL6|C3|CLU|FKBP1A|HSPD1|KCNJ8|PDGFA|SOS1|TLR4|YY1|FZD5|GBF1|SKAP2|AKAP12|MALT1|KDELR1|DCLRE1C|SNX27,-2.2,MyList
GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-5.4,3.9,5.9,30284,608,205,16,7.8,1.9,825|1289|1627|2280|2801|3693|4017|4134|4641|4926|5756|7408|7791|8737|10426|60681,CAPN3|COL5A1|DBN1|FKBP1A|GOLGA2|ITGB5|LOXL2|MAP4|MYO1C|NUMA1|TWF1|VASP|ZYX|RIPK1|TUBGCP3|FKBP10,-2.2,MyList
KEGG Pathway,24,hsa04820,Cytoskeleton in muscle cells,,-5.3,6.4,6.8,30284,232,205,10,4.9,1.5,825|1289|2201|3693|4811|6442|7791|8572|9260|84823,CAPN3|COL5A1|FBN2|ITGB5|NID1|SGCA|ZYX|PDLIM4|PDLIM7|LMNB2,-2.2,MyList
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-5.3,4.1,6,30284,546,205,15,7.3,1.8,604|825|1627|3693|4641|5154|5754|5756|7408|7791|8572|9260|9578|29780|30846,BCL6|CAPN3|DBN1|ITGB5|MYO1C|PDGFA|PTK7|TWF1|VASP|ZYX|PDLIM4|PDLIM7|CDC42BPB|PARVB|EHD2,-2.2,MyList
GO Biological Processes,19,GO:0034762,regulation of transmembrane transport,19_GO:0051179 localization,-5.3,4.3,6.1,30284,478,205,14,6.8,1.8,444|493|718|825|2280|3764|5142|5534|5566|6347|7531|8737|10060|53827,ASPH|ATP2B4|C3|CAPN3|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9|FXYD5,-2.2,MyList
GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-5.1,3.9,5.8,30284,569,205,15,7.3,1.8,355|604|1191|2908|3275|3329|5740|6347|7099|8737|8743|9262|9590|10955|64065,FAS|BCL6|CLU|NR3C1|PRMT2|HSPD1|PTGIS|CCL2|TLR4|RIPK1|TNFSF10|STK17B|AKAP12|SERINC3|PERP,-2,MyList
