_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.244390240430862,WP2004,M1,1,0,WikiPathways,27,miR targeted genes in lymphocytes,,-8.244390240430862,5.923009664058905,8.427784010563192,30284,424,205,17,8.292682926829269,1.9260723368099124,396|595|604|2771|4651|5534|5878|6856|8450|8829|8943|9260|25840|27236|29901|83442|84823,ARHGDIA|CCND1|BCL6|GNAI2|MYO10|PPP3R1|RAB5C|SYPL1|CUL4B|NRP1|AP3D1|PDLIM7|TMT1A|ARFIP1|SAC3D1|SH3BGRL3|LMNB2,-3.9010604373532556,0,1,1,1,-8.244390240430862,9.305627040522372,
1,-5.587075187052309,WP2003,M1,1,0,WikiPathways,27,miR targeted genes in leukocytes,,-5.587075187052309,9.305627040522372,7.743278860596414,30284,127,205,8,3.902439024390244,1.3525312711770863,396|604|2771|5878|8943|29901|83442|84823,ARHGDIA|BCL6|GNAI2|RAB5C|AP3D1|SAC3D1|SH3BGRL3|LMNB2,-2.3036480723425248,0,1,0,0,-8.244390240430862,9.305627040522372,
1,-4.533931584268814,WP2006,M1,1,0,WikiPathways,27,miR targeted genes in squamous cell,,-4.533931584268814,8.016184533938365,6.592662960137101,30284,129,205,7,3.4146341463414633,1.26838420024,2771|8450|8829|8943|9260|27236|83442,GNAI2|CUL4B|NRP1|AP3D1|PDLIM7|ARFIP1|SH3BGRL3,-1.7383350675014906,0,1,0,0,-8.244390240430862,9.305627040522372,
1,-4.498571785073477,WP2005,M1,1,0,WikiPathways,27,miR targeted genes in muscle cell,,-4.498571785073477,4.603385614592691,5.621887641694172,30284,353,205,11,5.365853658536586,1.57386115290658,396|595|4651|6856|8450|8829|8943|9260|25840|83442|84823,ARHGDIA|CCND1|MYO10|SYPL1|CUL4B|NRP1|AP3D1|PDLIM7|TMT1A|SH3BGRL3|LMNB2,-1.7331701735389144,0,1,0,0,-8.244390240430862,9.305627040522372,
1,-7.587767512619245,GO:0071363,M1,1,0,GO Biological Processes,19,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-7.587767512619245,5.017137597791073,7.70241022564935,30284,530,205,18,8.78048780487805,1.9766340130243747,92|2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,ACVR2A|NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-3.54546770520562,0,2,1,1,-7.587767512619245,5.323489343001538,
1,-7.2042876249790915,GO:0070848,M1,1,0,GO Biological Processes,19,response to growth factor,19_GO:0050896 response to stimulus,-7.2042876249790915,4.731464282614357,7.3714532190654785,30284,562,205,18,8.78048780487805,1.9766340130243747,92|2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,ACVR2A|NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-3.3380790766211472,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-3.4142452480077776,GO:0007167,M1,1,0,GO Biological Processes,19,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-3.4142452480077776,3.053177711427353,4.29583489606852,30284,629,205,13,6.341463414634147,1.7021251898933922,92|2051|3077|3693|4641|5154|6654|7791|8829|8895|9392|9702|23770,ACVR2A|EPHB6|HFE|ITGB5|MYO1C|PDGFA|SOS1|ZYX|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-1.1295065947652623,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-2.8464810142811694,GO:0141091,M1,1,0,GO Biological Processes,19,transforming growth factor beta receptor superfamily signaling pathway,19_GO:0050896 response to stimulus,-2.8464810142811694,4.951737293909251,4.3776390245188335,30284,179,205,6,2.926829268292683,1.1772572449544427,92|3077|3693|7791|9392|23770,ACVR2A|HFE|ITGB5|ZYX|TGFBRAP1|FKBP8,-0.8224082837934743,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-2.703968276586488,GO:0007178,M1,1,0,GO Biological Processes,19,cell surface receptor protein serine/threonine kinase signaling pathway,19_GO:0050896 response to stimulus,-2.703968276586488,4.640633380155791,4.1668279605412115,30284,191,205,6,2.926829268292683,1.1772572449544427,92|3077|3693|7791|9392|23770,ACVR2A|HFE|ITGB5|ZYX|TGFBRAP1|FKBP8,-0.7384555392040048,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-2.288186580403335,GO:0071560,M1,1,0,GO Biological Processes,19,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-2.288186580403335,4.531497830315726,3.732181320199179,30284,163,205,5,2.4390243902439024,1.0773807421936248,2908|3693|5179|7791|9392,NR3C1|ITGB5|PENK|ZYX|TGFBRAP1,-0.5223485771629537,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-2.2121457207705872,GO:0071559,M1,1,0,GO Biological Processes,19,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-2.2121457207705872,4.344906743185079,3.6105131712157026,30284,170,205,5,2.4390243902439024,1.0773807421936248,2908|3693|5179|7791|9392,NR3C1|ITGB5|PENK|ZYX|TGFBRAP1,-0.471960290313163,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-2.1579147647663373,GO:0090100,M1,1,0,GO Biological Processes,19,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0048518 positive regulation of biological process,-2.1579147647663373,5.323489343001538,3.7673096477601318,30284,111,205,4,1.951219512195122,0.9660447235891035,92|3077|4926|23770,ACVR2A|HFE|NUMA1|FKBP8,-0.4347210166624882,0,2,0,0,-7.587767512619245,5.323489343001538,
1,-6.789208609038716,GO:0043269,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transport,19_GO:0051179 localization,-6.789208609038716,5.007689127738735,7.244595660435135,30284,472,205,16,7.804878048780488,1.8735276281060416,444|493|825|2280|2771|3077|3764|5142|5534|5566|6347|6781|7531|8737|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|GNAI2|HFE|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE|RIPK1|ABCC9|FXYD5,-3.0479387972890715,0,3,1,1,-6.789208609038716,15.827874564459929,
1,-6.131799679362874,GO:0010959,M1,1,0,GO Biological Processes,19,regulation of metal ion transport,19_GO:0051179 localization,-6.131799679362874,5.131949403861285,6.893735815192621,30284,403,205,14,6.829268292682927,1.7617728375131851,444|493|825|2280|2771|3077|5142|5534|5566|6347|6781|7531|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|GNAI2|HFE|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE|ABCC9|FXYD5,-2.558777348818335,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-6.123955901512298,GO:0034765,M1,1,0,GO Biological Processes,19,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-6.123955901512298,5.566518204312478,7.042401439941995,30284,345,205,13,6.341463414634147,1.7021251898933922,444|493|825|2280|3764|5142|5534|5566|6347|7531|8737|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9|FXYD5,-2.558777348818335,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-5.2707258800424786,GO:0034762,M1,1,0,GO Biological Processes,19,regulation of transmembrane transport,19_GO:0051179 localization,-5.2707258800424786,4.326727217062966,6.05234913906501,30284,478,205,14,6.829268292682927,1.7617728375131851,444|493|718|825|2280|3764|5142|5534|5566|6347|7531|8737|10060|53827,ASPH|ATP2B4|C3|CAPN3|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9|FXYD5,-2.182668582068178,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-5.0156414984886935,GO:0051924,M1,1,0,GO Biological Processes,19,regulation of calcium ion transport,19_GO:0051179 localization,-5.0156414984886935,5.839005109418683,6.38081460317078,30284,253,205,10,4.878048780487805,1.5044803302525718,444|825|2280|2771|5142|5534|5566|6347|6781|7531,ASPH|CAPN3|FKBP1A|GNAI2|PDE4B|PPP3R1|PRKACA|CCL2|STC1|YWHAE,-1.989521445987099,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-4.9711234130471125,GO:0090257,M1,1,0,GO Biological Processes,19,regulation of muscle system process,19_GO:0032501 multicellular organismal process,-4.9711234130471125,5.770579268292683,6.328088984791982,30284,256,205,10,4.878048780487805,1.5044803302525718,18|444|493|2280|5142|5566|5756|6442|6781|7528,ABAT|ASPH|ATP2B4|FKBP1A|PDE4B|PRKACA|TWF1|SGCA|STC1|YY1,-1.989521445987099,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-4.52536236981181,M113,M1,1,0,Canonical Pathways,11,PID NFAT 3PATHWAY,,-4.52536236981181,13.936493327197423,7.781672138826701,30284,53,205,5,2.4390243902439024,1.0773807421936248,2280|5534|5566|7531|23770,FKBP1A|PPP3R1|PRKACA|YWHAE|FKBP8,-1.7383350675014906,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-4.251391916194881,GO:1904062,M1,1,0,GO Biological Processes,19,regulation of monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.251391916194881,4.750058818916163,5.4877946154083155,30284,311,205,10,4.878048780487805,1.5044803302525718,444|493|825|2280|5142|5534|5566|7531|10060|53827,ASPH|ATP2B4|CAPN3|FKBP1A|PDE4B|PPP3R1|PRKACA|YWHAE|ABCC9|FXYD5,-1.5515147896034618,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-4.008089524984306,GO:0008016,M1,1,0,GO Biological Processes,19,regulation of heart contraction,19_GO:0032501 multicellular organismal process,-4.008089524984306,5.6276887340301975,5.5554964130692355,30284,210,205,8,3.902439024390244,1.3525312711770863,444|493|3764|5142|5566|6781|7531|10060,ASPH|ATP2B4|KCNJ8|PDE4B|PRKACA|STC1|YWHAE|ABCC9,-1.4217816964677554,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-3.7226832667138923,GO:0044057,M1,1,0,GO Biological Processes,19,regulation of system process,19_GO:0032501 multicellular organismal process,-3.7226832667138923,3.2884396926161044,4.61012130238462,30284,584,205,13,6.341463414634147,1.7021251898933922,18|444|493|2280|3764|5142|5566|5756|6442|6781|7528|7531|10060,ABAT|ASPH|ATP2B4|FKBP1A|KCNJ8|PDE4B|PRKACA|TWF1|SGCA|STC1|YY1|YWHAE|ABCC9,-1.269978673973557,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-3.7011307108029623,GO:1903169,M1,1,0,GO Biological Processes,19,regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-3.7011307108029623,5.909073170731708,5.376690600004641,30284,175,205,7,3.4146341463414633,1.26838420024,444|825|2280|5142|5534|5566|7531,ASPH|CAPN3|FKBP1A|PDE4B|PPP3R1|PRKACA|YWHAE,-1.269978673973557,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-3.324473250435947,GO:1903522,M1,1,0,GO Biological Processes,19,regulation of blood circulation,19_GO:0032501 multicellular organismal process,-3.324473250435947,4.459677864703175,4.66987409257508,30284,265,205,8,3.902439024390244,1.3525312711770863,444|493|3764|5142|5566|6781|7531|10060,ASPH|ATP2B4|KCNJ8|PDE4B|PRKACA|STC1|YWHAE|ABCC9,-1.0989494682568415,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-3.19835291350772,GO:0006942,M1,1,0,GO Biological Processes,19,regulation of striated muscle contraction,19_GO:0032501 multicellular organismal process,-3.19835291350772,7.31320936971746,5.246556563544803,30284,101,205,5,2.4390243902439024,1.0773807421936248,444|2280|5142|5566|6781,ASPH|FKBP1A|PDE4B|PRKACA|STC1,-1.0338421287588966,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-3.0536255204738616,M235,M1,1,0,Canonical Pathways,11,PID TCR CALCIUM PATHWAY,,-3.0536255204738616,15.827874564459929,6.480325869777137,30284,28,205,3,1.4634146341463414,0.8386978322207049,2280|5534|5566,FKBP1A|PPP3R1|PRKACA,-0.9483418205250506,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-2.896577195781138,GO:0006937,M1,1,0,GO Biological Processes,19,regulation of muscle contraction,19_GO:0032501 multicellular organismal process,-2.896577195781138,5.064919860627177,4.452126836224905,30284,175,205,6,2.926829268292683,1.1772572449544427,18|444|2280|5142|5566|6781,ABAT|ASPH|FKBP1A|PDE4B|PRKACA|STC1,-0.8542773883675128,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-2.842893843248357,GO:0010880,M1,1,0,GO Biological Processes,19,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,19_GO:0042592 homeostatic process,-2.842893843248357,13.42971175166297,5.897838029030545,30284,33,205,3,1.4634146341463414,0.8386978322207049,444|2280|5566,ASPH|FKBP1A|PRKACA,-0.8224082837934743,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-2.6858540599135803,GO:0055117,M1,1,0,GO Biological Processes,19,regulation of cardiac muscle contraction,19_GO:0032501 multicellular organismal process,-2.6858540599135803,7.479839456622414,4.760834161565773,30284,79,205,4,1.951219512195122,0.9660447235891035,444|5142|5566|6781,ASPH|PDE4B|PRKACA|STC1,-0.7334593639393528,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-2.651411922527094,GO:0051282,M1,1,0,GO Biological Processes,19,regulation of sequestering of calcium ion,19_GO:0042592 homeostatic process,-2.651411922527094,5.512195121951219,4.321567438336584,30284,134,205,5,2.4390243902439024,1.0773807421936248,444|825|2280|5334|5566,ASPH|CAPN3|FKBP1A|PLCL1|PRKACA,-0.7148224631087036,0,3,0,0,-6.789208609038716,15.827874564459929,
1,-2.5886021476683254,GO:0051279,M1,1,0,GO Biological Processes,19,regulation of release of sequestered calcium ion into cytosol,19_GO:0042592 homeostatic process,-2.5886021476683254,7.034610917537746,4.572251674527828,30284,84,205,4,1.951219512195122,0.9660447235891035,444|825|2280|5566,ASPH|CAPN3|FKBP1A|PRKACA,-0.6794206256384777,0,3,0,0,-6.789208609038716,15.827874564459929,
