Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-8.8,6.4,8.9,30284,530,151,17,11,2.6,2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-4.5
MyList,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-8.5,6.1,8.6,30284,562,151,17,11,2.6,2908|3077|3693|4641|5179|5782|5962|6347|6654|7099|7791|8737|8829|8895|9392|9702|23770,NR3C1|HFE|ITGB5|MYO1C|PENK|PTPN12|RDX|CCL2|SOS1|TLR4|ZYX|RIPK1|NRP1|CPNE3|TGFBRAP1|CEP57|FKBP8,-4.4
MyList,GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-7.1,5.2,7.5,30284,616,151,16,11,2.5,604|1627|3693|3764|4641|5154|5754|5756|7408|7791|8572|9260|9578|10060|29780|30846,BCL6|DBN1|ITGB5|KCNJ8|MYO1C|PDGFA|PTK7|TWF1|VASP|ZYX|PDLIM4|PDLIM7|CDC42BPB|ABCC9|PARVB|EHD2,-3.3
MyList,WikiPathways,27,WP2004,miR targeted genes in lymphocytes,,-6.6,6.1,7.6,30284,424,151,13,8.6,2.3,396|595|604|2771|4651|5534|5878|8450|8829|8943|9260|29901|84823,ARHGDIA|CCND1|BCL6|GNAI2|MYO10|PPP3R1|RAB5C|CUL4B|NRP1|AP3D1|PDLIM7|SAC3D1|LMNB2,-3
MyList,GO Biological Processes,19,GO:0033365,protein localization to organelle,19_GO:0051179 localization,-6.3,4.3,6.7,30284,794,151,17,11,2.6,1191|1200|3329|4281|5534|5566|7531|8729|8829|8943|10204|10762|10945|22930|23770|51141|84823,CLU|TPP1|HSPD1|MID1|PPP3R1|PRKACA|YWHAE|GBF1|NRP1|AP3D1|NUTF2|NUP50|KDELR1|RAB3GAP1|FKBP8|INSIG2|LMNB2,-2.8
MyList,GO Biological Processes,19,GO:0043523,regulation of neuron apoptotic process,19_GO:0050789 regulation of biological process,-6.2,7.9,7.8,30284,255,151,10,6.6,2,595|1191|2908|4671|5831|6347|6418|8737|8829|219699,CCND1|CLU|NR3C1|NAIP|PYCR1|CCL2|SET|RIPK1|NRP1|UNC5B,-2.8
MyList,GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-6.2,5.1,6.9,30284,546,151,14,9.3,2.4,604|1627|3693|4641|5154|5754|5756|7408|7791|8572|9260|9578|29780|30846,BCL6|DBN1|ITGB5|MYO1C|PDGFA|PTK7|TWF1|VASP|ZYX|PDLIM4|PDLIM7|CDC42BPB|PARVB|EHD2,-2.8
MyList,GO Biological Processes,19,GO:0043269,regulation of monoatomic ion transport,19_GO:0051179 localization,-6.1,5.5,7,30284,472,151,13,8.6,2.3,444|493|2280|2771|3077|3764|5142|5534|5566|6347|7531|8737|10060,ASPH|ATP2B4|FKBP1A|GNAI2|HFE|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9,-2.8
MyList,GO Biological Processes,19,GO:0071871,response to epinephrine,19_GO:0050896 response to stimulus,-6.1,53,14,30284,15,151,4,2.6,1.3,493|5142|5179|5566,ATP2B4|PDE4B|PENK|PRKACA,-2.8
MyList,GO Biological Processes,19,GO:0007163,establishment or maintenance of cell polarity,19_GO:0009987 cellular process,-6,8.8,7.9,30284,205,151,9,6,1.9,1822|3764|4134|4926|5754|8729|9578|29780|81609,ATN1|KCNJ8|MAP4|NUMA1|PTK7|GBF1|CDC42BPB|PARVB|SNX27,-2.8
MyList,GO Biological Processes,19,GO:0071878,negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway,19_GO:0048519 negative regulation of biological process,-5.9,1.2e+02,19,30284,5,151,3,2,1.1,493|2771|5142,ATP2B4|GNAI2|PDE4B,-2.8
MyList,GO Biological Processes,19,GO:0034765,regulation of monoatomic ion transmembrane transport,19_GO:0051179 localization,-5.9,6.4,7.1,30284,345,151,11,7.3,2.1,444|493|2280|3764|5142|5534|5566|6347|7531|8737|10060,ASPH|ATP2B4|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9,-2.7
MyList,KEGG Pathway,24,hsa05163,Human cytomegalovirus infection,,-5.7,8,7.5,30284,226,151,9,6,1.9,355|595|2771|5534|5566|6347|6654|8737|90993,FAS|CCND1|GNAI2|PPP3R1|PRKACA|CCL2|SOS1|RIPK1|CREB3L1,-2.6
MyList,GO Biological Processes,19,GO:0051301,cell division,19_GO:0009987 cellular process,-5.6,5,6.5,30284,522,151,13,8.6,2.3,595|2029|2119|2771|2801|2908|4134|4926|7150|23244|23383|29901|80152,CCND1|ENSA|ETV5|GNAI2|GOLGA2|NR3C1|MAP4|NUMA1|TOP1|PDS5A|MAU2|SAC3D1|CENPT,-2.6
MyList,GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-5.6,4.6,6.4,30284,608,151,14,9.3,2.4,1289|1627|2280|2801|3693|4017|4134|4641|4926|5756|7408|7791|8737|10426,COL5A1|DBN1|FKBP1A|GOLGA2|ITGB5|LOXL2|MAP4|MYO1C|NUMA1|TWF1|VASP|ZYX|RIPK1|TUBGCP3,-2.6
MyList,Canonical Pathways,11,M238,PID THROMBIN PAR1 PATHWAY,,-5.6,23,10,30284,43,151,5,3.3,1.5,396|2771|6643|7408|7791,ARHGDIA|GNAI2|SNX2|VASP|ZYX,-2.6
MyList,GO Biological Processes,19,GO:0043524,negative regulation of neuron apoptotic process,19_GO:0048519 negative regulation of biological process,-5.6,9.4,7.8,30284,171,151,8,5.3,1.8,595|1191|4671|5831|6347|6418|8829|219699,CCND1|CLU|NAIP|PYCR1|CCL2|SET|NRP1|UNC5B,-2.6
MyList,Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-5.6,5.4,6.6,30284,446,151,12,7.9,2.2,1289|4651|5566|5962|6654|7408|8829|8986|9260|10381|23032|219699,COL5A1|MYO10|PRKACA|RDX|SOS1|VASP|NRP1|RPS6KA4|PDLIM7|TUBB3|USP33|UNC5B,-2.6
MyList,WikiPathways,27,WP2003,miR targeted genes in leukocytes,,-5.4,11,8,30284,127,151,7,4.6,1.7,396|604|2771|5878|8943|29901|84823,ARHGDIA|BCL6|GNAI2|RAB5C|AP3D1|SAC3D1|LMNB2,-2.5
MyList,Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-5.4,5.2,6.4,30284,467,151,12,7.9,2.2,1289|4651|5566|5962|6654|7408|8829|8986|9260|10381|23032|219699,COL5A1|MYO10|PRKACA|RDX|SOS1|VASP|NRP1|RPS6KA4|PDLIM7|TUBB3|USP33|UNC5B,-2.4
MyList,GO Biological Processes,19,GO:0034762,regulation of transmembrane transport,19_GO:0051179 localization,-5.3,5,6.3,30284,478,151,12,7.9,2.2,444|493|718|2280|3764|5142|5534|5566|6347|7531|8737|10060,ASPH|ATP2B4|C3|FKBP1A|KCNJ8|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|RIPK1|ABCC9,-2.3
MyList,GO Biological Processes,19,GO:2001233,regulation of apoptotic signaling pathway,19_GO:0050896 response to stimulus,-5.3,5.5,6.4,30284,399,151,11,7.3,2.1,355|1191|2771|5831|7099|8737|8743|8829|10955|90993|219699,FAS|CLU|GNAI2|PYCR1|TLR4|RIPK1|TNFSF10|NRP1|SERINC3|CREB3L1|UNC5B,-2.3
MyList,GO Biological Processes,19,GO:0043065,positive regulation of apoptotic process,19_GO:0048518 positive regulation of biological process,-5.2,4.6,6.1,30284,569,151,13,8.6,2.3,355|604|1191|2908|3275|3329|6347|7099|8737|8743|9262|9590|10955,FAS|BCL6|CLU|NR3C1|PRMT2|HSPD1|CCL2|TLR4|RIPK1|TNFSF10|STK17B|AKAP12|SERINC3,-2.3
MyList,GO Biological Processes,19,GO:0001775,cell activation,19_GO:0032501 multicellular organismal process,-5.2,4,5.9,30284,754,151,15,9.9,2.4,604|718|1191|2280|3329|3764|5154|6654|7099|7528|8729|8935|9590|10945|81609,BCL6|C3|CLU|FKBP1A|HSPD1|KCNJ8|PDGFA|SOS1|TLR4|YY1|GBF1|SKAP2|AKAP12|KDELR1|SNX27,-2.3
MyList,GO Biological Processes,19,GO:0010959,regulation of metal ion transport,19_GO:0051179 localization,-5.2,5.5,6.4,30284,403,151,11,7.3,2.1,444|493|2280|2771|3077|5142|5534|5566|6347|7531|10060,ASPH|ATP2B4|FKBP1A|GNAI2|HFE|PDE4B|PPP3R1|PRKACA|CCL2|YWHAE|ABCC9,-2.3
MyList,Canonical Pathways,11,M113,PID NFAT 3PATHWAY,,-5.2,19,9.2,30284,53,151,5,3.3,1.5,2280|5534|5566|7531|23770,FKBP1A|PPP3R1|PRKACA|YWHAE|FKBP8,-2.3
MyList,GO Biological Processes,19,GO:0043068,positive regulation of programmed cell death,19_GO:0048518 positive regulation of biological process,-5.1,4.4,6,30284,586,151,13,8.6,2.3,355|604|1191|2908|3275|3329|6347|7099|8737|8743|9262|9590|10955,FAS|BCL6|CLU|NR3C1|PRMT2|HSPD1|CCL2|TLR4|RIPK1|TNFSF10|STK17B|AKAP12|SERINC3,-2.3
MyList,GO Biological Processes,19,GO:0045185,maintenance of protein location,19_GO:0051179 localization,-5.1,13,8.1,30284,95,151,6,4,1.6,1627|2201|5756|7531|10945|51141,DBN1|FBN2|TWF1|YWHAE|KDELR1|INSIG2,-2.3
MyList,KEGG Pathway,24,hsa05130,Pathogenic Escherichia coli infection,,-5.1,7.9,7,30284,203,151,8,5.3,1.8,355|4641|4651|4671|7099|8737|8743|10381,FAS|MYO1C|MYO10|NAIP|TLR4|RIPK1|TNFSF10|TUBB3,-2.2
MyList,Reactome Gene Sets,6,R-HSA-68886,M Phase,,-4.9,5.7,6.3,30284,354,151,10,6.6,2,2029|2801|4926|5566|7531|10381|10426|10762|23383|80152,ENSA|GOLGA2|NUMA1|PRKACA|YWHAE|TUBB3|TUBGCP3|NUP50|MAU2|CENPT,-2.1
MyList,WikiPathways,27,WP5104,Acquired partial lipodystrophy Barraquer Simons syndrome,,-4.8,60,13,30284,10,151,3,2,1.1,629|718|84823,CFB|C3|LMNB2,-2.1
MyList,Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-4.8,4.2,5.7,30284,619,151,13,8.6,2.3,396|1362|1627|5756|6654|7531|9367|9578|9590|10250|10381|10970|80152,ARHGDIA|CPD|DBN1|TWF1|SOS1|YWHAE|RAB9A|CDC42BPB|AKAP12|SRRM1|TUBB3|CKAP4|CENPT,-2.1
