_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-11,M41688,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG NEUTROPHIL CELL,,-11,7.6,11,30284,368,205,19,9.3,2,444|604|1362|1955|2771|3727|5878|6533|7099|7150|7408|9260|10945|10970|11100|23770|51099|64748|283131,ASPH|BCL6|CPD|MEGF9|GNAI2|JUND|RAB5C|SLC6A6|TLR4|TOP1|VASP|PDLIM7|KDELR1|CKAP4|HNRNPUL1|FKBP8|ABHD5|PLPPR2|NEAT1,-6.7,0
1,-11,M41697,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG EREG DENDRITIC CELL,,-11,5.9,9.8,30284,579,205,23,11,2.2,444|1200|2280|2710|2771|3727|5142|5782|5878|6347|6533|7099|7150|7408|7531|7791|8195|8935|9260|9590|10892|51816|283131,ASPH|TPP1|FKBP1A|GK|GNAI2|JUND|PDE4B|PTPN12|RAB5C|CCL2|SLC6A6|TLR4|TOP1|VASP|YWHAE|ZYX|MKKS|SKAP2|PDLIM7|AKAP12|MALT1|ADA2|NEAT1,-6.7,0
1,-9.5,M39203,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW NEUTROPHIL,,-9.5,6.3,9.3,30284,449,205,19,9.3,2,604|1200|1362|1955|2771|3727|4671|5566|5782|7099|7791|8935|9262|10970|51099|51816|64748|81609|83442,BCL6|TPP1|CPD|MEGF9|GNAI2|JUND|NAIP|PRKACA|PTPN12|TLR4|ZYX|SKAP2|STK17B|CKAP4|ABHD5|ADA2|PLPPR2|SNX27|SH3BGRL3,-5.6,0
1,-9.5,M39175,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS MESENCHYMAL STROMAL CELL,,-9.5,5,8.7,30284,680,205,23,11,2.2,128|1289|2908|3693|4017|4134|4651|4811|5754|5782|6723|6781|7791|8829|9262|9590|10970|30846|60681|79901|83442|90993|219699,ADH5|COL5A1|NR3C1|ITGB5|LOXL2|MAP4|MYO10|NID1|PTK7|PTPN12|SRM|STC1|ZYX|NRP1|STK17B|AKAP12|CKAP4|EHD2|FKBP10|CYBRD1|SH3BGRL3|CREB3L1|UNC5B,-5.6,0
1,-9.3,M39128,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C29 MVECS 2,,-9.3,7.6,9.6,30284,313,205,16,7.8,1.9,1822|2280|2537|2771|3429|3727|4641|5740|5782|6781|7099|7531|9510|9590|30846|55312,ATN1|FKBP1A|IFI6|GNAI2|IFI27|JUND|MYO1C|PTGIS|PTPN12|STC1|TLR4|YWHAE|ADAMTS1|AKAP12|EHD2|RFK,-5.5,0
1,-7.9,M39209,M1,1,0,Cell Type Signatures,7,HAY BONE MARROW STROMAL,,-7.9,4.2,7.5,30284,765,205,22,11,2.2,1289|3693|4139|4281|4651|4811|5740|6347|7855|8572|8829|9510|11067|11135|51141|51454|54463|54477|57333|60681|79901|219699,COL5A1|ITGB5|MARK1|MID1|MYO10|NID1|PTGIS|CCL2|FZD5|PDLIM4|NRP1|ADAMTS1|DEPP1|CDC42EP1|INSIG2|GULP1|RETREG1|PLEKHA5|RCN3|FKBP10|CYBRD1|UNC5B,-4.2,0
1,-7.8,M39121,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C20 LSECS 3,,-7.8,7,8.6,30284,295,205,14,6.8,1.8,2280|3429|3727|4281|4651|4811|5962|6781|7150|8450|8829|9510|9578|9590,FKBP1A|IFI27|JUND|MID1|MYO10|NID1|RDX|STC1|TOP1|CUL4B|NRP1|ADAMTS1|CDC42BPB|AKAP12,-4.2,0
1,-7.6,M39113,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C9 LSECS 1,,-7.6,6.8,8.4,30284,304,205,14,6.8,1.8,2280|3429|3727|4281|4651|4811|5962|6525|6781|7150|8450|8829|9578|9590,FKBP1A|IFI27|JUND|MID1|MYO10|NID1|RDX|SMTN|STC1|TOP1|CUL4B|NRP1|CDC42BPB|AKAP12,-4.2,0
1,-7.6,M39050,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HPERIC,,-7.6,4.1,7.3,30284,795,205,22,11,2.2,604|2280|2908|3693|3764|4017|4641|4811|5334|6347|6525|6856|7004|7791|9510|9590|9780|10060|10955|26578|30846|219699,BCL6|FKBP1A|NR3C1|ITGB5|KCNJ8|LOXL2|MYO1C|NID1|PLCL1|CCL2|SMTN|SYPL1|TEAD4|ZYX|ADAMTS1|AKAP12|PIEZO1|ABCC9|SERINC3|OSTF1|EHD2|UNC5B,-4.2,0
1,-7.2,M41718,M1,1,0,Cell Type Signatures,7,FAN OVARY CL16 LYMPHATIC ENDOTHELIAL CELL,,-7.2,7.6,8.4,30284,232,205,12,5.9,1.6,595|1191|2280|6525|6643|6856|8743|9590|11067|53827|83442|283131,CCND1|CLU|FKBP1A|SMTN|SNX2|SYPL1|TNFSF10|AKAP12|DEPP1|FXYD5|SH3BGRL3|NEAT1,-3.8,0
1,-7,M39051,M1,1,0,Cell Type Signatures,7,MANNO MIDBRAIN NEUROTYPES HMGL,,-7,4.6,7.2,30284,577,205,18,8.8,2,718|1112|1200|2908|3329|4671|5534|6347|7099|8935|8986|9262|9780|10892|25840|26578|79895|283131,C3|FOXN3|TPP1|NR3C1|HSPD1|NAIP|PPP3R1|CCL2|TLR4|SKAP2|RPS6KA4|STK17B|PIEZO1|MALT1|TMT1A|OSTF1|ATP8B4|NEAT1,-3.7,0
1,-6.9,M41700,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG OLR1 CLASSICAL MONOCYTE CELL,,-6.9,4.1,6.9,30284,726,205,20,9.8,2.1,396|444|1200|1362|2710|5142|5782|6347|6533|6611|7099|7150|7408|7531|7791|8195|9260|10970|51816|283131,ARHGDIA|ASPH|TPP1|CPD|GK|PDE4B|PTPN12|CCL2|SLC6A6|SMS|TLR4|TOP1|VASP|YWHAE|ZYX|MKKS|PDLIM7|CKAP4|ADA2|NEAT1,-3.6,0
1,-6.8,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-6.8,4,6.9,30284,731,205,20,9.8,2.1,316|629|718|2280|4641|5154|5831|5962|6347|7855|8743|9367|9510|10381|11135|25840|51454|54463|90993|283131,AOX1|CFB|C3|FKBP1A|MYO1C|PDGFA|PYCR1|RDX|CCL2|FZD5|TNFSF10|RAB9A|ADAMTS1|TUBB3|CDC42EP1|TMT1A|GULP1|RETREG1|CREB3L1|NEAT1,-3.6,0
1,-6.8,M39040,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BRAIN ENDOTHELIAL 2,,-6.8,6.3,7.7,30284,303,205,13,6.3,1.7,3764|4811|6525|7791|8495|9260|9590|10060|11135|30846|54477|64943|219699,KCNJ8|NID1|SMTN|ZYX|PPFIBP2|PDLIM7|AKAP12|ABCC9|CDC42EP1|EHD2|PLEKHA5|NT5DC2|UNC5B,-3.6,0
1,-6.6,M41711,M1,1,0,Cell Type Signatures,7,FAN OVARY CL9 PUTATIVE APOPTOTIC ENDOTHELIAL CELL,,-6.6,5.7,7.4,30284,365,205,14,6.8,1.8,396|1191|2280|2537|3329|3429|5878|5962|6856|7150|8743|11067|53827|283131,ARHGDIA|CLU|FKBP1A|IFI6|HSPD1|IFI27|RAB5C|RDX|SYPL1|TOP1|TNFSF10|DEPP1|FXYD5|NEAT1,-3.5,0
1,-6.5,M39077,M1,1,0,Cell Type Signatures,7,ZHONG PFC MAJOR TYPES MICROGLIA,,-6.5,5.1,7.1,30284,438,205,15,7.3,1.8,595|718|1200|2771|2908|4671|7099|25840|26578|51735|51816|57333|63940|79895|283131,CCND1|C3|TPP1|GNAI2|NR3C1|NAIP|TLR4|TMT1A|OSTF1|RAPGEF6|ADA2|RCN3|GPSM3|ATP8B4|NEAT1,-3.4,0
1,-5.9,M39018,M1,1,0,Cell Type Signatures,7,FAN EMBRYONIC CTX BIG GROUPS BRAIN ENDOTHELIAL,,-5.9,5.3,6.8,30284,365,205,13,6.3,1.7,1362|2280|2537|2908|3429|3764|4641|4811|6525|6856|11135|53827|219699,CPD|FKBP1A|IFI6|NR3C1|IFI27|KCNJ8|MYO1C|NID1|SMTN|SYPL1|CDC42EP1|FXYD5|UNC5B,-2.9,0
1,-5.5,M39124,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C23 KUPFFER CELLS 3,,-5.5,6.7,7,30284,221,205,10,4.9,1.5,604|1955|2280|2710|2771|4671|8935|10970|51816|83442,BCL6|MEGF9|FKBP1A|GK|GNAI2|NAIP|SKAP2|CKAP4|ADA2|SH3BGRL3,-2.6,0
1,-5.5,M39305,M1,1,0,Cell Type Signatures,7,CUI DEVELOPING HEART C8 MACROPHAGE,,-5.5,5.9,6.8,30284,275,205,11,5.4,1.6,1200|2771|3727|4671|8935|9262|26578|51816|63940|83442|283131,TPP1|GNAI2|JUND|NAIP|SKAP2|STK17B|OSTF1|ADA2|GPSM3|SH3BGRL3|NEAT1,-2.6,0
1,-5.4,M39117,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C13 LSECS 2,,-5.4,5.7,6.6,30284,283,205,11,5.4,1.6,3429|4281|4641|4651|4811|5962|6525|7099|8450|8829|9590,IFI27|MID1|MYO1C|MYO10|NID1|RDX|SMTN|TLR4|CUL4B|NRP1|AKAP12,-2.6,0
1,-5.4,M39225,M1,1,0,Cell Type Signatures,7,LAKE ADULT KIDNEY C6 PROXIMAL TUBULE EPITHELIAL CELLS FIBRINOGEN POS S3,,-5.4,7.3,7.1,30284,181,205,9,4.4,1.4,316|1191|3329|8743|8829|8935|9590|51454|283131,AOX1|CLU|HSPD1|TNFSF10|NRP1|SKAP2|AKAP12|GULP1|NEAT1,-2.5,0
