_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-7.9,C1332201,M1,1,0,DisGeNET,35,Adult Diffuse Large B-Cell Lymphoma,,-7.9,5.3,8,30284,504,205,18,8.8,2,355|595|604|1025|1112|4134|5142|5962|6347|6723|7528|8450|8737|8743|9260|10892|10970|283131,FAS|CCND1|BCL6|CDK9|FOXN3|MAP4|PDE4B|RDX|CCL2|SRM|YY1|CUL4B|RIPK1|TNFSF10|PDLIM7|MALT1|CKAP4|NEAT1,-4.2,0
1,-7.9,C0013080,M1,1,0,DisGeNET,35,Down Syndrome,,-7.9,4.2,7.5,30284,765,205,22,11,2.2,595|604|1191|1627|1822|2029|2201|3275|3329|4139|4671|5142|6347|6418|7004|7099|8743|9510|10381|10970|81609|130872,CCND1|BCL6|CLU|DBN1|ATN1|ENSA|FBN2|PRMT2|HSPD1|MARK1|NAIP|PDE4B|CCL2|SET|TEAD4|TLR4|TNFSF10|ADAMTS1|TUBB3|CKAP4|SNX27|AHSA2P,-4.2,0
1,-7.6,C0374997,M1,1,0,DisGeNET,35,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-7.6,4.7,7.6,30284,592,205,19,9.3,2,355|595|718|1191|2280|3077|3329|3429|3727|3964|6347|6418|6723|7099|7408|7531|8743|10892|60681,FAS|CCND1|C3|CLU|FKBP1A|HFE|HSPD1|IFI27|JUND|LGALS8|CCL2|SET|SRM|TLR4|VASP|YWHAE|TNFSF10|MALT1|FKBP10,-4.2,0
1,-6.8,C0016057,M1,1,0,DisGeNET,35,Fibrosarcoma,,-6.8,5.4,7.4,30284,413,205,15,7.3,1.8,595|1191|2908|3329|3727|5754|6347|7150|8737|8743|9510|9590|23383|27236|90993,CCND1|CLU|NR3C1|HSPD1|JUND|PTK7|CCL2|TOP1|RIPK1|TNFSF10|ADAMTS1|AKAP12|MAU2|ARFIP1|CREB3L1,-3.6,0
1,-6.5,C0220668,M1,1,0,DisGeNET,35,Congenital contractural arachnodactyly,,-6.5,4.5,6.9,30284,559,205,17,8.3,1.9,444|595|2201|3429|4017|5154|7099|8450|8495|8737|8743|8829|10892|51573|51593|283131|693197,ASPH|CCND1|FBN2|IFI27|LOXL2|PDGFA|TLR4|CUL4B|PPFIBP2|RIPK1|TNFSF10|NRP1|MALT1|GDE1|SRRT|NEAT1|MIR612,-3.4,0
1,-6.3,C0278595,M1,1,0,DisGeNET,35,Adult Fibrosarcoma,,-6.3,5.3,7.1,30284,387,205,14,6.8,1.8,595|1191|2908|3329|3727|5754|6347|7150|8737|8743|9510|9590|23383|90993,CCND1|CLU|NR3C1|HSPD1|JUND|PTK7|CCL2|TOP1|RIPK1|TNFSF10|ADAMTS1|AKAP12|MAU2|CREB3L1,-3.3,0
1,-6.3,C0019348,M1,1,0,DisGeNET,35,Herpes Simplex Infections,,-6.3,4.1,6.6,30284,644,205,18,8.8,2,355|718|1025|1822|2119|2908|3329|3703|4926|5179|6347|7099|8737|9260|22930|64421|126393|283131,FAS|C3|CDK9|ATN1|ETV5|NR3C1|HSPD1|STT3A|NUMA1|PENK|CCL2|TLR4|RIPK1|PDLIM7|RAB3GAP1|DCLRE1C|HSPB6|NEAT1,-3.3,0
1,-6.2,C0002893,M1,1,0,DisGeNET,35,Refractory anemias,,-6.2,5.6,7.1,30284,340,205,13,6.3,1.7,355|595|718|1822|3329|3429|3727|4017|6347|6611|7531|11135|23451,FAS|CCND1|C3|ATN1|HSPD1|IFI27|JUND|LOXL2|CCL2|SMS|YWHAE|CDC42EP1|SF3B1,-3.1,0
1,-6.1,C0521158,M1,1,0,DisGeNET,35,Recurrent tumor,,-6.1,3.8,6.4,30284,735,205,19,9.3,2,444|595|604|1025|1191|1822|3329|3429|5782|6347|6611|6781|7099|8743|9780|10970|51573|126393|283131,ASPH|CCND1|BCL6|CDK9|CLU|ATN1|HSPD1|IFI27|PTPN12|CCL2|SMS|STC1|TLR4|TNFSF10|PIEZO1|CKAP4|GDE1|HSPB6|NEAT1,-3.1,0
1,-6,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-6,3.7,6.2,30284,756,205,19,9.3,2,595|718|2029|2710|3077|3329|3764|3990|5142|5179|5534|6347|6533|7099|9367|10060|51573|126393|283131,CCND1|C3|ENSA|GK|HFE|HSPD1|KCNJ8|LIPC|PDE4B|PENK|PPP3R1|CCL2|SLC6A6|TLR4|RAB9A|ABCC9|GDE1|HSPB6|NEAT1,-3,0
