_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-6.1,M399,M1,1,0,Transcription Factor Targets,16,SMTTTTGT UNKNOWN,,-6.1,5.1,6.8,30284,407,205,14,6.8,1.8,92|604|1112|2201|4281|4651|6418|6781|7531|7855|8743|8971|79895|151050,ACVR2A|BCL6|FOXN3|FBN2|MID1|MYO10|SET|STC1|YWHAE|FZD5|TNFSF10|H1-10|ATP8B4|KANSL1L,-3.1,0
1,-5.7,M9525,M1,1,0,Transcription Factor Targets,16,SP1 Q6,,-5.7,6.2,7,30284,260,205,11,5.4,1.6,92|1362|2710|5754|6643|8125|9367|23142|23770|64748|151050,ACVR2A|CPD|GK|PTK7|SNX2|ANP32A|RAB9A|DCUN1D4|FKBP8|PLPPR2|KANSL1L,-2.8,0
1,-5.4,M6378,M1,1,0,Transcription Factor Targets,16,TTCYNRGAA STAT5B 01,,-5.4,5.2,6.4,30284,341,205,12,5.9,1.6,444|604|1191|2119|2710|3764|6347|6781|7004|7791|8829|26145,ASPH|BCL6|CLU|ETV5|GK|KCNJ8|CCL2|STC1|TEAD4|ZYX|NRP1|IRF2BP1,-2.6,0
1,-5,M1946,M1,1,0,Transcription Factor Targets,16,KCCGNSWTTT UNKNOWN,,-5,9.6,7.4,30284,108,205,7,3.4,1.3,92|2029|6654|7531|8943|10250|81550,ACVR2A|ENSA|SOS1|YWHAE|AP3D1|SRRM1|TDRD3,-2.3,0
1,-5,M6144,M1,1,0,Transcription Factor Targets,16,STAT5B 01,,-5,5.8,6.3,30284,255,205,10,4.9,1.5,604|1191|2119|2710|3764|6347|6781|7791|8829|84271,BCL6|CLU|ETV5|GK|KCNJ8|CCL2|STC1|ZYX|NRP1|POLDIP3,-2.3,0
1,-4.9,M9300,M1,1,0,Transcription Factor Targets,16,SP1 Q4 01,,-4.9,5.7,6.3,30284,259,205,10,4.9,1.5,1362|2710|5754|6643|8125|9367|23142|23770|64748|151050,CPD|GK|PTK7|SNX2|ANP32A|RAB9A|DCUN1D4|FKBP8|PLPPR2|KANSL1L,-2.2,0
1,-4.8,M3403,M1,1,0,Transcription Factor Targets,16,GTGACGY E4F1 Q6,,-4.8,3.5,5.5,30284,671,205,16,7.8,1.9,2005|2029|2710|2801|3703|3727|5566|5878|6611|9702|10444|10945|23142|27291|64771|84271,ELK4|ENSA|GK|GOLGA2|STT3A|JUND|PRKACA|RAB5C|SMS|CEP57|ZER1|KDELR1|DCUN1D4|R3HCC1L|ILRUN|POLDIP3,-2.2,0
1,-4.6,M29950,M1,1,0,Transcription Factor Targets,16,DYRK1A TARGET GENES,,-4.6,3.2,5.2,30284,774,205,17,8.3,1.9,444|595|1822|2119|4641|5754|6257|6856|7528|8195|23383|30846|51593|55312|80152|84271|130872,ASPH|CCND1|ATN1|ETV5|MYO1C|PTK7|RXRB|SYPL1|YY1|MKKS|MAU2|EHD2|SRRT|RFK|CENPT|POLDIP3|AHSA2P,-2.1,0
1,-4.3,M29953,M1,1,0,Transcription Factor Targets,16,EBNA1BP2 TARGET GENES,,-4.3,4.4,5.4,30284,373,205,11,5.4,1.6,604|2119|4641|4651|6525|10612|23039|27291|53838|79901|222255,BCL6|ETV5|MYO1C|MYO10|SMTN|TRIM3|XPO7|R3HCC1L|C11orf24|CYBRD1|ATXN7L1,-1.8,0
1,-4.1,M5,M1,1,0,Transcription Factor Targets,16,STAT 01,,-4.1,5.2,5.5,30284,258,205,9,4.4,1.4,444|604|1191|2119|2710|6347|6418|8829|26145,ASPH|BCL6|CLU|ETV5|GK|CCL2|SET|NRP1|IRF2BP1,-1.7,0
1,-4.1,M17883,M1,1,0,Transcription Factor Targets,16,STAT5A 01,,-4.1,5.1,5.5,30284,259,205,9,4.4,1.4,604|2119|2710|3764|6347|6781|7791|8829|26145,BCL6|ETV5|GK|KCNJ8|CCL2|STC1|ZYX|NRP1|IRF2BP1,-1.7,0
1,-3.9,M40770,M1,1,0,Transcription Factor Targets,16,ATXN7L3 TARGET GENES,,-3.9,4.7,5.2,30284,281,205,9,4.4,1.4,2908|3329|4641|5142|5831|5962|30846|51454|283131,NR3C1|HSPD1|MYO1C|PDE4B|PYCR1|RDX|EHD2|GULP1|NEAT1,-1.5,0
1,-3.7,M14376,M1,1,0,Transcription Factor Targets,16,PU1 Q6,,-3.7,5,5.1,30284,236,205,8,3.9,1.4,5754|5878|7099|8971|9510|9780|11100|64771,PTK7|RAB5C|TLR4|H1-10|ADAMTS1|PIEZO1|HNRNPUL1|ILRUN,-1.4,0
1,-3.6,M9645,M1,1,0,Transcription Factor Targets,16,GGGYGTGNY UNKNOWN,,-3.6,3,4.4,30284,686,205,14,6.8,1.8,1822|2280|2771|2908|5534|5754|6643|8943|9260|23039|64065|64748|124801|222255,ATN1|FKBP1A|GNAI2|NR3C1|PPP3R1|PTK7|SNX2|AP3D1|PDLIM7|XPO7|PERP|PLPPR2|LSM12|ATXN7L1,-1.4,0
1,-3.6,M18732,M1,1,0,Transcription Factor Targets,16,AP2ALPHA 01,,-3.6,4.9,5,30284,243,205,8,3.9,1.4,1025|2908|3727|4134|5878|6257|6654|90993,CDK9|NR3C1|JUND|MAP4|RAB5C|RXRB|SOS1|CREB3L1,-1.4,0
1,-3.6,M14066,M1,1,0,Transcription Factor Targets,16,IRF Q6,,-3.6,4.8,5,30284,244,205,8,3.9,1.4,595|2119|3964|5566|7150|8829|51735|222255,CCND1|ETV5|LGALS8|PRKACA|TOP1|NRP1|RAPGEF6|ATXN7L1,-1.4,0
1,-3.5,M13199,M1,1,0,Transcription Factor Targets,16,GATA1 01,,-3.5,4.8,4.9,30284,247,205,8,3.9,1.4,1191|5179|5754|7531|8572|10612|51322|51735,CLU|PENK|PTK7|YWHAE|PDLIM4|TRIM3|WAC|RAPGEF6,-1.3,0
1,-3.5,M10652,M1,1,0,Transcription Factor Targets,16,RORA1 01,,-3.5,4.8,4.9,30284,248,205,8,3.9,1.4,18|444|2710|3329|7408|8829|8943|23142,ABAT|ASPH|GK|HSPD1|VASP|NRP1|AP3D1|DCUN1D4,-1.3,0
1,-3.5,M10112,M1,1,0,Transcription Factor Targets,16,RNGTGGGC UNKNOWN,,-3.5,2.8,4.3,30284,784,205,15,7.3,1.8,92|204|493|595|2051|2908|5878|7855|8572|9590|10945|10970|23039|64943|222255,ACVR2A|AK2|ATP2B4|CCND1|EPHB6|NR3C1|RAB5C|FZD5|PDLIM4|AKAP12|KDELR1|CKAP4|XPO7|NT5DC2|ATXN7L1,-1.3,0
1,-3.5,M11791,M1,1,0,Transcription Factor Targets,16,SP1 Q2 01,,-3.5,4.7,4.9,30284,250,205,8,3.9,1.4,604|2119|6643|8125|23142|26145|27236|151050,BCL6|ETV5|SNX2|ANP32A|DCUN1D4|IRF2BP1|ARFIP1|KANSL1L,-1.3,0
1,-3.5,M3265,M1,1,0,Transcription Factor Targets,16,NFMUE1 Q6,,-3.5,4.7,4.9,30284,250,205,8,3.9,1.4,595|2029|4281|7528|8729|8780|8943|10250,CCND1|ENSA|MID1|YY1|GBF1|RIOK3|AP3D1|SRRM1,-1.3,0
1,-3.4,M16414,M1,1,0,Transcription Factor Targets,16,TAL1BETAE47 01,,-3.4,4.6,4.8,30284,255,205,8,3.9,1.4,2710|2771|4139|6525|8572|8780|10612|126393,GK|GNAI2|MARK1|SMTN|PDLIM4|RIOK3|TRIM3|HSPB6,-1.3,0
1,-3.4,M8585,M1,1,0,Transcription Factor Targets,16,TFIIA Q6,,-3.4,4.6,4.8,30284,256,205,8,3.9,1.4,595|604|825|6442|7408|10970|23770|222255,CCND1|BCL6|CAPN3|SGCA|VASP|CKAP4|FKBP8|ATXN7L1,-1.3,0
1,-3.4,M3128,M1,1,0,Transcription Factor Targets,16,AAANWWTGC UNKNOWN,,-3.4,5.3,5,30284,195,205,7,3.4,1.3,493|604|1112|4281|10390|22839|222255,ATP2B4|BCL6|FOXN3|MID1|CEPT1|DLGAP4|ATXN7L1,-1.3,0
1,-3.4,M822,M1,1,0,Transcription Factor Targets,16,YTATTTTNR MEF2 02,,-3.4,2.9,4.2,30284,715,205,14,6.8,1.8,92|444|595|604|825|4139|5154|6781|7150|8743|11067|22839|51322|54463,ACVR2A|ASPH|CCND1|BCL6|CAPN3|MARK1|PDGFA|STC1|TOP1|TNFSF10|DEPP1|DLGAP4|WAC|RETREG1,-1.3,0
1,-3.3,M9287,M1,1,0,Transcription Factor Targets,16,PEA3 Q6,,-3.3,4.5,4.7,30284,263,205,8,3.9,1.4,2005|4139|4926|8829|8986|10250|53838|64421,ELK4|MARK1|NUMA1|NRP1|RPS6KA4|SRRM1|C11orf24|DCLRE1C,-1.2,0
