Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
84823,3.0,1,1,1
646817,3.0,1,1,1
6257,3.0,1,1,1
128,3.0,1,1,1
10060,3.0,1,1,1
8450,3.0,1,1,1
8675,3.0,1,1,1
10204,3.0,1,1,1
2801,3.0,1,1,1
23530,3.0,1,1,1
29780,3.0,1,1,1
10945,3.0,1,1,1
10250,3.0,1,1,1
51141,3.0,1,1,1
5782,3.0,1,1,1
4281,3.0,1,1,1
5962,3.0,1,1,1
8780,3.0,1,1,1
6654,3.0,1,1,1
6347,3.0,1,1,1
8743,3.0,1,1,1
3077,3.0,1,1,1
1289,3.0,1,1,1
219699,3.0,1,1,1
3329,3.0,1,1,1
5142,3.0,1,1,1
6723,3.0,1,1,1
444,3.0,1,1,1
90993,3.0,1,1,1
4641,3.0,1,1,1
5179,3.0,1,1,1
126393,3.0,1,1,1
2201,3.0,1,1,1
79901,3.0,1,1,1
4671,3.0,1,1,1
7150,3.0,1,1,1
7531,3.0,1,1,1
7408,3.0,1,1,1
5754,3.0,1,1,1
604,3.0,1,1,1
7528,3.0,1,1,1
4017,3.0,1,1,1
5756,3.0,1,1,1
51322,3.0,1,1,1
10381,3.0,1,1,1
64943,3.0,1,1,1
629,3.0,1,1,1
6525,3.0,1,1,1
4134,3.0,1,1,1
5566,3.0,1,1,1
5154,3.0,1,1,1
8737,3.0,1,1,1
396,3.0,1,1,1
3764,3.0,1,1,1
5878,3.0,1,1,1
493,3.0,1,1,1
8895,3.0,1,1,1
23032,3.0,1,1,1
22824,3.0,1,1,1
22930,3.0,1,1,1
79443,3.0,1,1,1
355,3.0,1,1,1
2710,3.0,1,1,1
8943,3.0,1,1,1
2119,3.0,1,1,1
8729,3.0,1,1,1
7099,3.0,1,1,1
1627,3.0,1,1,1
5831,3.0,1,1,1
595,3.0,1,1,1
51099,3.0,1,1,1
1200,3.0,1,1,1
1191,3.0,1,1,1
3964,3.0,1,1,1
8125,3.0,1,1,1
6418,3.0,1,1,1
3275,3.0,1,1,1
9260,3.0,1,1,1
3727,3.0,1,1,1
6611,3.0,1,1,1
23770,3.0,1,1,1
18,3.0,1,1,1
2280,3.0,1,1,1
2771,3.0,1,1,1
55312,3.0,1,1,1
6643,3.0,1,1,1
23451,3.0,1,1,1
9367,3.0,1,1,1
8829,3.0,1,1,1
84271,3.0,1,1,1
10426,3.0,1,1,1
2908,3.0,1,1,1
22839,3.0,1,1,1
10762,3.0,1,1,1
5534,3.0,1,1,1
1362,3.0,1,1,1
9590,3.0,1,1,1
718,3.0,1,1,1
4926,3.0,1,1,1
3693,3.0,1,1,1
8986,3.0,1,1,1
7791,3.0,1,1,1
26145,2.0,1,0,1
92,2.0,1,1,0
283131,2.0,1,1,0
2029,2.0,1,0,1
10955,2.0,1,0,1
222255,2.0,1,0,1
51167,2.0,1,0,1
9578,2.0,1,0,1
825,2.0,1,1,0
51816,2.0,1,0,1
9510,2.0,1,1,0
5740,2.0,1,1,0
2051,2.0,1,0,1
8195,2.0,1,1,0
8971,2.0,1,0,1
316,2.0,1,0,1
2537,2.0,1,1,0
54477,2.0,1,0,1
3429,2.0,1,1,0
57333,2.0,1,1,0
65084,2.0,1,1,0
51593,2.0,1,0,1
55192,2.0,1,0,1
5334,2.0,1,1,0
8495,2.0,1,0,1
23142,2.0,1,0,1
6533,2.0,1,1,0
8572,2.0,1,0,1
63940,2.0,1,0,1
29855,2.0,1,0,1
64771,2.0,1,1,0
4651,2.0,1,0,1
80152,2.0,1,0,1
10892,2.0,1,1,0
6781,2.0,1,1,0
23244,2.0,1,0,1
53838,2.0,1,0,1
1762,2.0,1,0,1
51573,2.0,1,0,1
9780,2.0,1,0,1
9392,2.0,1,0,1
9204,2.0,1,0,1
10970,2.0,1,0,1
25842,2.0,1,0,1
11100,2.0,1,0,1
9077,2.0,1,0,1
30846,2.0,1,0,1
64065,2.0,1,1,0
51735,2.0,1,0,1
64421,2.0,1,1,0
81609,2.0,1,0,1
440434,2.0,1,1,0
60681,2.0,1,1,0
9702,2.0,1,0,1
9262,2.0,1,0,1
4139,2.0,1,0,1
6442,2.0,1,1,0
204,2.0,1,0,1
9878,2.0,1,0,1
1822,2.0,1,0,1
3990,2.0,1,0,1
7004,2.0,1,0,1
29901,2.0,1,0,1
8935,2.0,1,0,1
11135,2.0,1,0,1
1025,2.0,1,0,1
901,2.0,1,1,0
23524,2.0,1,0,1
7855,2.0,1,1,0
23039,2.0,1,1,0
3703,2.0,1,0,1
23383,2.0,1,0,1
6856,1.0,1,0,0
57209,1.0,1,0,0
4811,1.0,1,0,0
79804,1.0,1,0,0
10612,1.0,1,0,0
124801,1.0,1,0,0
26578,1.0,1,0,0
693197,1.0,1,0,0
1955,1.0,1,0,0
9703,1.0,1,0,0
79895,1.0,1,0,0
64748,1.0,1,0,0
25840,1.0,1,0,0
63910,1.0,1,0,0
10390,1.0,1,0,0
27236,1.0,1,0,0
27291,1.0,1,0,0
83442,1.0,1,0,0
11067,1.0,1,0,0
81550,1.0,1,0,0
130872,1.0,1,0,0
53827,1.0,1,0,0
10444,1.0,1,0,0
51454,1.0,1,0,0
1112,1.0,1,0,0
90806,1.0,1,0,0
54463,1.0,1,0,0
128322,1.0,1,0,0
69,1.0,1,0,0
2134,1.0,1,0,0
2005,1.0,1,0,0
151050,1.0,1,0,0
642869,1.0,1,0,0
